id,Decision_Date,Employer,City_State,Case_Status,Job_Title,Wage_Offer
A-16146-14510,2017-02-01,Sandisk Corporation,"Milpitas, CA",Certified,"Electronics Engineers, Except Computer, Level II","122,672.00/Year"
A-16263-53960,2017-01-11,"Ooyala, Inc.","Santa Clara, CA",Certified,"Software Developers, Systems Software, Level II","125,000.00/Year"
A-16123-04570,2016-11-15,"Baily International, Inc.","HOUSTON, TX",Certified,"BUSINESS DEVELOPMENT ANALYST, Level I",37378/Year
A-15091-63241,2016-09-30,"Netapp, Inc.","Cranberry Township, PA",Certified,"Software Developers, Systems Software, Level II","74,568.00/Year"
A-16159-18555,2016-09-30,"Hauptman Ham, Llp","Alexandra, VA",Certified,"Paralegals and Legal Assistants, Level III","108,909.00/Year"
A-16189-30166,2016-09-30,"Formosa Plastics Corporation, Louisiana","Baton Rouge, LA",Certified,"Process Engineer, Level I","106,900.00/Year"
A-16154-17347,2016-09-29,Cgg Services (u.s.) Inc.,"Houston, TX",Certified,"Statisticians, Level I","57,429.00/Year"
A-16158-18288,2016-09-29,Cirrus Data Solutions Inc.,"Syosset, NY",Certified,"Senior Software Architect, Level IV","123,240.00/Year"
A-16187-29228,2016-09-29,Apple Inc.,"Cupertino, CA",Certified,Industrial Production Managers,"170,000.00/Year"
A-16266-55191,2016-09-29,Sharp Electronics Corporation D/b/a Sharp Microelectronics Of Th,"CAMAS, WA",Denied,"MARKETING MANAGER, Level IV","133,515.00/Year"
A-16187-29099,2016-09-28,"California State University, Los Angeles","Los Angeles, CA",Certified,Assistant Professor,"63,000.00/Year"
A-16209-36249,2016-09-28,"Art.sy, Inc.","New York, NY",Certified,"Software Developers, Applications, Level II","116,000.00/Year"
A-16252-50803,2016-09-28,"Defender Services, Inc.","Gastonia, NC",Withdrawn,"Packers and Packagers, Level I",8.20/Hour
A-16259-53223,2016-09-28,Gmp Global Marketing Inc,"Walnut, CA",Denied,"Market Research Analysts and Marketing Specialists, Level II","55,994.00/Year"
A-16167-22100,2016-09-27,Element Plastics Mfg Llc,"SUGAR LAND, TX",Certified,"Mechanical Engineering Technicians, Level III","63,100.00/Year"
A-16161-19876,2016-09-26,"California State University, Los Angeles","Los Angeles, CA",Certified,Assistant Professor,"101,000.00/Year"
A-16246-49374,2016-09-26,"Defender Services, Inc.","Gastonia, NC",Withdrawn,"Packers and Packagers, Level I",8.20/Hour
A-16252-50586,2016-09-26,"Defender Services, Inc.","Hendersonville, NC",Withdrawn,"Packers and Packagers, Level I",8.20/Hour
A-15294-31018,2016-09-23,"Agilent Technologies, Inc.","Wilmington, DE",Certified,"Financial Analysts, Level IV","109,080.00/Year"
A-15323-41405,2016-09-23,"South Shore Mental Health Center, Inc.","Quincy, MA",Denied,"Psychologist, Level I","54,371.00/Year"
A-16194-31929,2016-09-23,Chenbro Micom (usa) Inc,"Rutherford, NJ",Certified,"Senior Project Manager, Level II","75,000.00/Year"
A-16209-36391,2016-09-23,"Defender Services, Inc.","Gastonia, NC",Certified,"Packers and Packagers, Level I",8.20/Hour
A-16126-06117,2016-09-22,"Acer Cloud Technology, Inc","Sunnyvale, CA",Certified,"Software Developers, Systems Software, Level III","146,000.00/Year"
