,Count,Salary
count,,8431.0
mean,,73819.6398873
std,,29570.1810936
min,,12000.0
25%,,52083.2
50%,,70000.0
75%,,90064.0
max,,315000.0
CA,4043.0,
NY,892.0,
TX,615.0,
WA,319.0,
NJ,290.0,
IL,216.0,
MA,195.0,
OR,174.0,
FL,157.0,
VA,131.0,
AK,,91998.4
NH,,91476.0
DE,,90396.6
VT,,90251.0
WA,,87212.1401254
OR,,86609.4724138
SD,,85000.0
CT,,84852.3333333
NV,,81202.5823077
MA,,80720.1025641
Intel Corporation,196.0,
Microsoft Corporation,127.0,
Google Inc.,106.0,
Super Micro Computer Inc.,63.0,
Broadcom Corporation,56.0,
Apple Inc.,54.0,
Yahoo Inc.,45.0,
Oracle America Inc.,43.0,
Qualcomm Technologies Inc.,39.0,
Wafertech LLC.,39.0,
Cleveland Clinic Foundation,,315000.0
Trinity Health - Michigan D/b/a Saint Mary's Healt,,300000.0
Guam Healthcare Development Inc.,,250000.0
Apogee Medical Group Inc,,240000.0
Haynes And Boone LLP.,,230000.0
White & Case LLP.,,230000.0
Vhm Servicesinc. Dba Metrowest Physician Services,,230000.0
Pulmonary & Medical Associates Of Northern Va,,223163.0
Prophetstor Data Services Inc,,220251.0
Netflix,,220000.0
