,Count,Salary
count,,92.0
mean,,72468.1138043
std,,32271.1432418
min,,24211.2
25%,,53779.0
50%,,59675.0
75%,,82932.4
max,,230000.0
NY,82.0,
NJ,10.0,
NJ,,73579.4
NY,,72332.5910976
Memorial Sloan-kettering Cancer Center,3.0,
Factset Research Systems Inc.,2.0,
Crystal Window & Door Systems Ltd.,2.0,
Muji U.s.a. Limited,2.0,
Allure Home Creation Co. Inc.,2.0,
Webmd LLC.,2.0,
A A Technology Inc.,1.0,
Penton Learning Systems LLC.,1.0,
Mirror Books Usa Corp.,1.0,
Mintz Levin Cohn Ferris Glovsky And Popeo Pc,1.0,
White & Case LLP.,,230000.0
King & Spalding LLP.,,185000.0
Cleary Gottlieb Steen & Hamilton LLP.,,170000.0
Fx Alliance Llc ('fxall'),,140000.0
Citicorp Credit Services Inc.,,139505.6
Citibank N.a,,117707.0
Sky It Group LLC.,,117312.0
Mintz Levin Cohn Ferris Glovsky And Popeo Pc,,117000.0
Yu Shan Co. Usa Ltd,,114920.0
Eisneramper LLP.,,107000.0
