,Count,Salary
count,,945.0
mean,,71716.0391005
std,,28887.2140151
min,,20530.0
25%,,52000.0
50%,,65875.0
75%,,84074.0
max,,250000.0
NY,821.0,
NJ,111.0,
CT,13.0,
CT,,105613.538462
NJ,,72922.5038739
NY,,71016.1790743
Crystal Window & Door Systems Ltd.,24.0,
World Journal LLC.,13.0,
Bloomberg L.p.,11.0,
Pricewaterhousecoopers,8.0,
Dealogic,8.0,
Computer Square Inc.,7.0,
New York City Department Of Education,7.0,
Google Inc.,6.0,
Oec Freight (ny) Inc.,6.0,
Zt Group Int'l Inc.,5.0,
White & Case LLP.,,230000.0
Reed Smith LLP.,,210000.0
T3 Trading Group,,204984.0
Jat Capital Management Lp,,200000.0
King & Spalding LLP.,,185000.0
Oliver Wyman Inc,,170000.0
Cleary Gottlieb Steen & Hamilton LLP.,,170000.0
Kilpatrick Stockton LLP.,,170000.0
The Brooklyn Hospital Center,,168522.0
Fantasia Accessories,,167190.0
